,h3_8,h3_9,zone_id,zone_code,zone_category,h3_population_constrained,n_accomadation,unique_accomadation_category
1484,888c107813fffff,898c1078133ffff,3171080#898c1078133ffff#z1,z1,housing_area,1124,0,0
1485,888c107815fffff,898c1078153ffff,3171090#898c1078153ffff#z2,z2,hotel_area,424,1,1
1486,888c10783dfffff,898c10783c3ffff,3171090#898c10783c3ffff#z1,z1,housing_area,492,0,0
1487,888c107831fffff,898c1078303ffff,3171090#898c1078303ffff#z1,z1,housing_area,557,0,0
1488,888c107817fffff,898c1078173ffff,3171090#898c1078173ffff#z1,z1,housing_area,143,0,0
1489,888c107813fffff,898c1078123ffff,3171090#898c1078123ffff#z2,z2,hotel_area,421,1,1
1490,888c10783bfffff,898c10783abffff,3171090#898c10783abffff#z2,z2,hotel_area,141,2,2
1491,888c10783bfffff,898c10783b3ffff,3171090#898c10783b3ffff#z1,z1,housing_area,704,0,0
1492,888c10781dfffff,898c10781dbffff,3171090#898c10781dbffff#z1,z1,housing_area,1113,0,0
1493,888c107811fffff,898c1078113ffff,3171090#898c1078113ffff#z2,z2,hotel_area,558,2,1
1494,888c107833fffff,898c107832bffff,3171090#898c107832bffff#z1,z1,housing_area,146,0,0
1495,888c10783dfffff,898c10783cfffff,3171090#898c10783cfffff#z1,z1,housing_area,1026,0,0
1496,888c107837fffff,898c1078377ffff,3171090#898c1078377ffff#z1,z1,housing_area,1383,0,0
1497,888c1078edfffff,898c1078ed3ffff,3171090#898c1078ed3ffff#z1,z1,housing_area,429,0,0
1498,888c10780bfffff,898c10780abffff,3171090#898c10780abffff#z1,z1,housing_area,1107,0,0
1499,888c107839fffff,898c107838fffff,3171090#898c107838fffff#z1,z1,housing_area,142,0,0
1500,888c107831fffff,898c1078307ffff,3171090#898c1078307ffff#z1,z1,housing_area,1208,0,0
1501,888c107803fffff,898c1078037ffff,3171090#898c1078037ffff#z1,z1,housing_area,948,0,0
1502,888c107815fffff,898c107814bffff,3171090#898c107814bffff#z1,z1,housing_area,285,0,0
1503,888c107803fffff,898c1078023ffff,3171090#898c1078023ffff#z1,z1,housing_area,830,0,0
1504,888c107835fffff,898c1078353ffff,3171090#898c1078353ffff#z2,z2,hotel_area,606,1,1
1505,888c107839fffff,898c1078393ffff,3171090#898c1078393ffff#z1,z1,housing_area,708,0,0
1506,888c107803fffff,898c107803bffff,3171090#898c107803bffff#z1,z1,housing_area,1087,0,0
1507,888c107815fffff,898c1078147ffff,3171090#898c1078147ffff#z0,z0,others,0,0,0
1508,888c10783bfffff,898c10783afffff,3171090#898c10783afffff#z2,z2,hotel_area,287,1,1
1509,888c107839fffff,898c1078397ffff,3171090#898c1078397ffff#z2,z2,hotel_area,142,1,1
1510,888c107831fffff,898c107830bffff,3171090#898c107830bffff#z1,z1,housing_area,856,0,0
